#,Company,Symbol,Weight,Price,Chg,% Chg
1,Goldman Sachs Group Inc,GS,8.018099,566.10,12.11,(2.19%)
2,Unitedhealth Group Inc,UNH,7.081093,500.13,10.88,(2.22%)
3,Microsoft Corp,MSFT,6.325294,436.60,-0.43,(-0.10%)
4,Home Depot Inc,HD,5.572535,392.60,7.58,(1.97%)
5,Caterpillar Inc,CAT,5.215766,366.04,5.67,(1.57%)
6,Sherwin Williams Co,SHW,4.95539,345.47,3.09,(0.90%)
7,Salesforce Inc,CRM,4.866379,343.65,7.42,(2.21%)
8,Visa Inc Class A Shares,V,4.557373,317.71,2.83,(0.90%)
9,American Express Co,AXP,4.241854,298.65,5.57,(1.90%)
10,Mcdonald S Corp,MCD,4.200604,292.68,2.45,(0.84%)
11,Amgen Inc,AMGN,3.780298,263.38,2.19,(0.84%)
12,Apple Inc,AAPL,3.615302,254.49,4.70,(1.88%)
13,Travelers Cos Inc,TRV,3.440463,240.76,3.05,(1.28%)
14,Jpmorgan Chase & Co,JPM,3.371715,237.60,4.64,(1.99%)
15,Honeywell International Inc,HON,3.283717,228.32,1.44,(0.63%)
16,Intl Business Machines Corp,IBM,3.240876,223.36,-0.56,(-0.25%)
17,Amazon.com Inc,AMZN,3.231757,224.92,1.63,(0.73%)
18,Boeing Co,BA,2.562364,177.35,0.31,(0.18%)
19,Procter & Gamble Co,PG,2.448748,168.06,-1.13,(-0.67%)
20,Johnson & Johnson,JNJ,2.078086,144.47,0.89,(0.62%)
21,Chevron Corp,CVX,2.042915,142.85,1.70,(1.20%)
22,Nvidia Corp,NVDA,1.891379,134.70,4.02,(3.08%)
23,3m Co,MMM,1.839999,129.28,2.15,(1.69%)
24,Walt Disney Co,DIS,1.611899,112.03,0.66,(0.59%)
25,Merck & Co. Inc.,MRK,1.440389,98.05,-1.47,(-1.48%)
26,Walmart Inc,WMT,1.351812,92.24,-1.16,(-1.24%)
27,Nike Inc  Cl B,NKE,1.115896,76.94,-0.16,(-0.21%)
28,Coca Cola Co,KO,0.903862,62.55,0.10,(0.16%)
29,Cisco Systems Inc,CSCO,0.8341,58.52,0.89,(1.54%)
30,Verizon Communications Inc,VZ,0.5785,39.93,-0.04,(-0.10%)
