#,Company,Symbol,Weight,Price,Chg,% Chg
1,Apple Inc.,AAPL,7.63%,254.49,4.70,(1.88%)
2,Microsoft Corp,MSFT,6.52%,436.60,-0.43,(-0.10%)
3,Nvidia Corp,NVDA,6.46%,134.70,4.02,(3.08%)
4,Amazon.com Inc,AMZN,4.19%,224.92,1.63,(0.73%)
5,"Meta Platforms, Inc. Class A",META,2.61%,585.25,-10.32,(-1.73%)
6,"Tesla, Inc.",TSLA,2.43%,421.06,-15.11,(-3.46%)
7,Alphabet Inc. Class A,GOOGL,2.22%,191.41,2.90,(1.54%)
8,Broadcom Inc.,AVGO,2.04%,220.79,2.47,(1.13%)
9,Alphabet Inc. Class C,GOOG,1.83%,192.96,3.26,(1.72%)
10,Berkshire Hathaway Class B,BRK.B,1.65%,453.20,3.86,(0.86%)
11,Jpmorgan Chase & Co.,JPM,1.33%,237.60,4.64,(1.99%)
12,Eli Lilly & Co.,LLY,1.20%,767.76,10.22,(1.35%)
13,Visa Inc.,V,1.06%,317.71,2.83,(0.90%)
14,Exxon Mobil Corporation,XOM,0.94%,105.87,0.36,(0.34%)
15,Unitedhealth Group Incorporated,UNH,0.91%,500.13,10.88,(2.22%)
16,Mastercard Incorporated,MA,0.87%,528.03,4.75,(0.91%)
17,Costco Wholesale Corp,COST,0.85%,954.07,-0.73,(-0.08%)
18,Walmart Inc.,WMT,0.81%,92.24,-1.16,(-1.24%)
19,Procter & Gamble Company,PG,0.80%,168.06,-1.13,(-0.67%)
20,Netflix Inc,NFLX,0.78%,909.05,7.01,(0.78%)
21,"Home Depot, Inc.",HD,0.77%,392.60,7.58,(1.97%)
22,Johnson & Johnson,JNJ,0.69%,144.47,0.89,(0.62%)
23,"Salesforce, Inc.",CRM,0.65%,343.65,7.42,(2.21%)
24,Abbvie Inc.,ABBV,0.61%,175.58,4.06,(2.37%)
25,Bank of America Corporation,BAC,0.59%,44.17,0.79,(1.82%)
26,Oracle Corp,ORCL,0.54%,169.66,0.87,(0.52%)
27,"Merck & Co., Inc.",MRK,0.51%,98.05,-1.47,(-1.48%)
28,Coca-Cola Company,KO,0.49%,62.55,0.10,(0.16%)
29,Chevron Corporation,CVX,0.48%,142.85,1.70,(1.20%)
30,Wells Fargo & Co.,WFC,0.47%,70.34,1.49,(2.16%)
31,Accenture Plc,ACN,0.47%,366.37,-5.79,(-1.56%)
32,"Cisco Systems, Inc.",CSCO,0.47%,58.52,0.89,(1.54%)
33,"Servicenow, Inc.",NOW,0.44%,"1,091.25",16.38,(1.52%)
34,Mcdonald's Corporation,MCD,0.42%,292.68,2.45,(0.84%)
35,"Pepsico, Inc.",PEP,0.42%,152.79,1.32,(0.87%)
36,International Business Machines Corporation,IBM,0.41%,223.36,-0.56,(-0.25%)
37,The Walt Disney Company,DIS,0.41%,112.03,0.66,(0.59%)
38,Linde Plc,LIN,0.40%,424.31,4.72,(1.12%)
39,"Thermo Fisher Scientific, Inc.",TMO,0.40%,524.05,7.36,(1.42%)
40,Abbott Laboratories,ABT,0.39%,114.23,1.81,(1.61%)
